millis,time,data,min,max
801574,0,1517,1015,1804
801585,0.011,1523,,
801596,0.022,1524,,
801604,0.03,1517,,
801615,0.041,1511,,
801626,0.052,1514,,
801634,0.06,1514,,
801645,0.071,1512,,
801656,0.082,1511,,
801664,0.09,1511,,
801675,0.101,1511,,
801686,0.112,1509,,
801694,0.12,1505,,
801705,0.131,1503,,
801716,0.142,1503,,
801724,0.15,1502,,
801735,0.161,1499,,
801746,0.172,1501,,
801754,0.18,1501,,
801765,0.191,1496,,
801776,0.202,1491,,
801784,0.21,1488,,
801795,0.221,1486,,
801806,0.232,1484,,
801814,0.24,1486,,
801825,0.251,1482,,
801836,0.262,1478,,
801844,0.27,1473,,
801855,0.281,1465,,
801866,0.292,1459,,
801876,0.302,1455,,
801884,0.31,1454,,
801895,0.321,1452,,
801906,0.332,1445,,
801914,0.34,1440,,
801925,0.351,1443,,
801936,0.362,1442,,
801944,0.37,1445,,
801955,0.381,1446,,
801966,0.392,1439,,
801974,0.4,1437,,
801985,0.411,1436,,
801996,0.422,1435,,
802004,0.43,1434,,
802015,0.441,1435,,
802025,0.451,1444,,
802036,0.462,1438,,
802044,0.47,1429,,
802055,0.481,1428,,
802066,0.492,1433,,
802074,0.5,1437,,
802085,0.511,1437,,
802096,0.522,1437,,
802104,0.53,1435,,
802115,0.541,1432,,
802126,0.552,1440,,
802134,0.56,1439,,
802145,0.571,1432,,
802156,0.582,1431,,
802164,0.59,1426,,
802175,0.601,1428,,
802186,0.612,1437,,
802194,0.62,1436,,
802205,0.631,1434,,
802216,0.642,1432,,
802224,0.65,1436,,
802235,0.661,1440,,
802246,0.672,1442,,
802254,0.68,1435,,
802265,0.691,1430,,
802276,0.702,1437,,
802284,0.71,1438,,
802295,0.721,1438,,
802306,0.732,1438,,
802314,0.74,1443,,
802325,0.751,1442,,
802336,0.762,1430,,
802344,0.77,1437,,
802355,0.781,1443,,
802366,0.792,1434,,
802374,0.8,1433,,
802385,0.811,1436,,
802396,0.822,1441,,
802406,0.832,1442,,
802414,0.84,1436,,
802425,0.851,1436,,
802436,0.862,1441,,
802444,0.87,1442,,
802455,0.881,1442,,
802466,0.892,1435,,
802474,0.9,1433,,
802485,0.911,1439,,
802496,0.922,1441,,
802504,0.93,1439,,
802515,0.941,1439,,
802526,0.952,1444,,
802534,0.96,1446,,
802545,0.971,1444,,
802556,0.982,1443,,
802564,0.99,1441,,
802575,1.001,1439,,
802586,1.012,1443,,
802594,1.02,1448,,
802605,1.031,1450,,
802616,1.042,1451,,
802624,1.05,1449,,
802635,1.061,1443,,
802646,1.072,1443,,
802654,1.08,1442,,
802665,1.091,1447,,
802676,1.102,1446,,
802684,1.11,1447,,
802695,1.121,1448,,
802706,1.132,1442,,
802714,1.14,1441,,
802725,1.151,1448,,
802736,1.162,1451,,
802744,1.17,1455,,
802755,1.181,1452,,
802766,1.192,1452,,
802774,1.2,1446,,
802785,1.211,1440,,
802796,1.222,1445,,
802804,1.23,1444,,
802815,1.241,1441,,
802826,1.252,1438,,
802834,1.26,1438,,
802845,1.271,1431,,
802856,1.282,1415,,
802864,1.29,1406,,
802875,1.301,1399,,
802886,1.312,1384,,
802894,1.32,1375,,
802905,1.331,1358,,
802916,1.342,1345,,
802924,1.35,1338,,
802935,1.361,1317,,
802945,1.371,1293,,
802956,1.382,1287,,
802966,1.392,1299,,
802974,1.4,1295,,
802985,1.411,1283,,
802996,1.422,1270,,
803004,1.43,1270,,
803015,1.441,1262,,
803026,1.452,1260,,
